,Activation,Channels,Loss,Mae,Mse
200,relu,"[0, 4, 5, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 22, 23]",18205.19140625,106.42765808105469,18205.19140625
201,relu,"[1, 2, 4, 5, 7, 9, 11, 12, 13, 14, 17, 19, 20, 21, 23]",21544.857421875,121.01966094970703,21544.857421875
202,relu,"[0, 1, 3, 4, 5, 6, 7, 10, 11, 12, 15, 16, 17, 21, 22]",13615.7158203125,86.81389617919922,13615.71484375
203,relu,"[3, 4, 7, 9, 10, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23]",19483.513671875,114.40149688720703,19483.513671875
204,relu,"[0, 1, 3, 5, 6, 10, 12, 13, 14, 15, 16, 17, 19, 21, 23]",23328.740234375,125.67500305175781,23328.740234375
205,relu,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 21]",19540.494140625,113.2576675415039,19540.494140625
206,relu,"[0, 1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 17, 18, 19, 20]",20406.72265625,118.4643325805664,20406.72265625
207,relu,"[1, 2, 3, 5, 7, 8, 12, 13, 14, 16, 18, 19, 20, 22, 23]",21549.859375,119.79032897949219,21549.857421875
208,relu,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 17, 20, 21, 22]",20542.919921875,114.44566345214844,20542.919921875
209,relu,"[0, 2, 4, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22]",15962.5869140625,97.46217346191406,15962.5869140625
210,relu,"[0, 1, 3, 4, 6, 7, 10, 11, 13, 16, 17, 20, 21, 22, 23]",22399.783203125,120.07499694824219,22399.783203125
211,relu,"[0, 1, 3, 8, 9, 10, 12, 13, 14, 17, 18, 19, 20, 22, 23]",20634.40234375,117.0090103149414,20634.40234375
212,relu,"[0, 2, 3, 4, 5, 7, 11, 12, 13, 15, 17, 19, 20, 21, 22]",21548.15234375,122.36766815185547,21548.154296875
213,relu,"[0, 2, 4, 6, 7, 10, 11, 12, 14, 16, 17, 19, 20, 21, 23]",23332.40625,126.75833129882812,23332.40625
214,relu,"[1, 2, 4, 5, 7, 9, 11, 12, 14, 15, 17, 19, 21, 22, 23]",20409.287109375,116.48365783691406,20409.287109375
215,relu,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 13, 17, 19, 21, 22, 23]",19153.783203125,111.81566619873047,19153.783203125
216,relu,"[2, 3, 5, 6, 7, 8, 11, 12, 14, 16, 17, 18, 21, 22, 23]",16521.5078125,98.56156921386719,16521.509765625
217,relu,"[0, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 18, 21, 23]",21964.669921875,123.39766693115234,21964.669921875
218,relu,"[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19]",18407.154296875,109.30833435058594,18407.154296875
219,relu,"[0, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 19, 22, 23]",19840.59375,114.4503402709961,19840.59375
220,relu,"[2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 18, 19, 22, 23]",23073.98828125,122.82166290283203,23073.986328125
221,relu,"[0, 1, 2, 5, 6, 7, 8, 10, 13, 16, 17, 20, 21, 22, 23]",20094.6796875,113.96768188476562,20094.6796875
